SYMPTOMS,medicinalPlantName,scientificName,USAGE,noOfDosage
"Digestive Issues, Sore Throat, Cold",Sage,Salvia officinalis,"Use as a tea or gargle for throat issues.","Gargle with tea twice daily or drink one cup daily."
"Respiratory Infections, Indigestion, Colds",Thyme,Thymus vulgaris,"Brew as a tea for respiratory infections and colds.","Drink one cup of tea up to three times daily."
"Memory Improvement, Focus Issues",Rosemary,Rosmarinus officinalis,"Consume in powder form or as tea for memory and focus.","Consume 1 teaspoon of powder or drink tea twice daily."
"Digestive Upset, Anxiety, Sleep Disorders",Chamomile,Matricaria chamomilla,"Brew as tea or use extract for anxiety and digestive upset.","Drink one cup of tea twice daily or use drops of extract once daily."
"Stress, Anxiety, Skin Healing",Gotu Kola,Centella asiatica,"Apply as paste for skin healing or consume tea for stress.","Apply paste as needed or drink tea once daily."
"Bloating, Colic, Mild Pain",Catnip,Nepeta cataria,"Brew as tea or use oil for mild pain and colic.","Drink one cup of tea twice daily."
"Insomnia, Anxiety, Restlessness",Lavender,Lavandula angustifolia,"Use oil in aromatherapy or tea for relaxation and restlessness.","Inhale oil once or drink tea before bed."
"Anemia, Blood Pressure Issues",Hibiscus,Hibiscus rosa-sinensis,"Consume as juice or powder for anemia and blood pressure.","Consume 10–20 ml of juice daily or one teaspoon of powder."
"Constipation, Diarrhea, Digestive Disorders",Bael,Aegle marmelos,"Take as capsules or decoction for digestive disorders.","Take one teaspoon of powder or drink one cup of decoction daily."
"Diabetes, Infections, Digestion Issues",Bitter Gourd,Momordica charantia,"Use as juice or add in meals for diabetes management.","Consume 30 ml of juice once daily."
"Digestive Issues, Bad Breath",Cinnamon,Cinnamomum verum,"Chew raw or brew as tea for digestive issues.","Chew one clove or drink one cup of tea daily."
"Toothache, Sore Throat",Clove,Syzygium aromaticum,"Use as oil for toothache or sore throat relief.","Apply oil once or gargle with decoction twice daily."
"Constipation, Cleansing",Senna,Cassia angustifolia,"Brew as tea or take capsules for cleansing.","Drink one cup of tea or take one capsule daily."
"Digestion, Weight Loss, Inflammation",Black Pepper,Piper nigrum,"Add as spice in meals or brew tea for digestion.","Use a pinch of powder in meals or drink one cup of tea twice daily."
"Water Retention, Digestive Disorders",Parsley,Petroselinum crispum,"Consume as decoction or tea for water retention.","Drink one cup of decoction or tea once daily."
"Indigestion, Flatulence, Appetite Loss",Coriander,Coriandrum sativum,"Brew as tea or chew seeds for flatulence and appetite.","Chew 1 teaspoon of seeds or drink one cup of tea twice daily."
"Indigestion, Throat Issues",Cardamom,Elettaria cardamomum,"Use as tea for throat soothing or digestion.","Drink one cup of tea twice daily."
"Arthritis, Inflammation, Joint Pain",Guggul,Commiphora mukul,"Apply as oil or paste for arthritis or joint pain.","Apply oil or paste twice daily."
"Constipation, Digestive Cleansing",Haritaki,Terminalia chebula,"Brew as tea or consume capsules for digestive cleansing.","Drink one cup of tea or take one capsule daily."
"Skin Conditions, Detoxification",Manjistha,Rubia cordifolia,"Apply as paste for detoxification or consume juice for skin health.","Apply paste as needed or consume juice once daily."
"Hair Loss, Skin Rejuvenation",Bhringraj,Eclipta alba,"Use as hair oil or paste for hair loss and skin rejuvenation.","Apply oil or paste to scalp twice weekly."
"Vitamin C Deficiency, Joint Pain",Rosehip,Rosa canina,"Consume as tea or capsules for vitamin deficiency.","Consume one cup of tea or 500 mg capsules daily."
"Antioxidant Deficiencies, Fatigue",Blueberry,Vaccinium corymbosum,"Eat fresh or as juice for antioxidant support.","Eat one cup of fresh fruit or drink 30 ml of juice daily."
"Mood Improvement, Relaxation",Saffron,Crocus sativus,"Brew as tea or use in aroma oils for mood relaxation.","Drink one cup of tea or use oil aromatherapy once daily."
"High Blood Pressure, Alcohol Dependency",Kudzu,Pueraria lobata,"Use root extract or tea for high blood pressure and dependency issues.","Drink one cup of tea or take capsules twice daily."
